doi,total_authors,matched_authors,needs_review_authors
10.1038/s41551-023-01045-x,10,4,10
10.1038/s41392-022-01130-8,11,0,11
10.1038/s41467-023-42720-6,9,0,9
10.1038/s41467-024-47121-x,9,0,9
10.1038/s41467-024-51130-1,14,0,14
