idx,doi,success,status,elapsed_sec,error
1,10.1038/s41551-023-01045-x,True,NEEDS_REVIEW,64.475,
2,10.1038/s41392-022-01130-8,True,NEEDS_REVIEW,78.34,
3,10.1038/s41467-023-42720-6,True,NEEDS_REVIEW,28.412,
4,10.1038/s41467-024-47121-x,True,COMPLETED,14.387,
5,10.1038/s41467-024-51130-1,True,NEEDS_REVIEW,19.325,
