doi,total_authors,matched_authors,needs_review_authors
10.1038/s41551-023-01045-x,10,4,10
10.1038/s41392-022-01130-8,12,9,12
10.1038/s41467-023-42720-6,11,2,11
10.1038/s41467-024-47121-x,10,1,10
10.1038/s41467-024-51130-1,17,1,17
