id,employee_id,name_zh,department,departments,name_en_list
38,gen_a6ac099f,Junling Guo,"BMI Center for Biomass Materials and Nanointerfaces, College of Biomass Science and Engineering, West China Second University Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
39,gen_eb580f67,Junlong Yang,"College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering of China, Sichuan University, Chengdu, China",,"""[]"""
40,gen_962ddb58,Junwei Song,"Key Laboratory of Birth Defects and Related Diseases of Women and Children of MOE, West China Second Hospital, Sichuan University, Chengdu, China",,"""[]"""
41,gen_5272deea,Li Zhang,"Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
42,gen_880e2624,Liang‐Wen Feng,"College of Chemistry, Sichuan University, Chengdu, China",,"""[]"""
43,gen_3b5fe724,Lingling Zhou,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
44,gen_8dc32de6,Lixiang Feng,"Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, and West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, and Collaborative Innovation Center for Biotherapy, Chengdu, China",,"""[]"""
45,gen_7f812c0e,Liya Wang,"Department of Nephrology, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
46,gen_7c182394,Longcheng Zhang,"School of Chemical Engineering, Sichuan University, Chengdu , China",,"""[]"""
47,gen_74c727ca,Lu Chen,"Key Laboratory of Birth Defects and Related Diseases of Women and Children of MOE, West China Second Hospital, Sichuan University, Chengdu, China",,"""[]"""
48,gen_199a64c2,Lujia Song,"Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
49,gen_811ceb65,Lunzhi Dai,"Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
50,gen_c6546341,Manyu Chen,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
51,gen_d5be7796,Manyun Dai,"Laboratory of Metabolomics and Drug-Induced Liver Injury, Department of Gastroenterology & Hepatology, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
