doi,total_authors,matched_authors,needs_review_authors
10.1038/s41392-022-01090-z,11,1,0
10.1038/s41392-022-01130-8,12,9,0
10.1038/s41467-023-39637-5,10,0,0
10.1038/s41467-023-40854-1,4,1,0
10.1038/s41467-023-42720-6,11,2,0
10.1038/s41467-024-47121-x,10,1,0
10.1038/s41467-024-51130-1,17,1,0
10.1038/s41551-023-01045-x,10,4,0
10.1038/s41586-022-05030-3,10,1,0
10.1038/s41586-022-05498-z,20,0,0
10.1038/s41586-022-05572-6,2,0,0
10.1038/s41586-023-05769-3,9,0,0
10.1038/s41586-023-06957-x,2,0,0
10.1038/s41591-023-02327-2,8,0,0
10.1038/s41746-023-00819-6,1,0,0
10.1109/taffc.2022.3164516,5,1,0
10.3389/fimmu.2022.863640,7,5,2
