idx,doi,success,status,elapsed_sec,error
1,10.1038/s41551-023-01045-x,True,NEEDS_REVIEW,24.81,
2,10.1038/s41392-022-01130-8,True,NEEDS_REVIEW,16.956,
3,10.1038/s41467-023-42720-6,True,NEEDS_REVIEW,15.685,
4,10.1038/s41467-024-47121-x,True,NEEDS_REVIEW,64.797,
5,10.1038/s41467-024-51130-1,True,NEEDS_REVIEW,95.538,
